path	strict_decode	format	core_spec	total	sort	bvar	const	app	lam	pi	let
npa-core/testdata/package/npa-mathlib/Mathlib/Core/Reduction/certificate.npcert	ok	NPA-CERT-0.1.2	NPA-Core-0.1.2	20	0	2	3	3	8	2	2
npa-core/testdata/package/npa-mathlib/Mathlib/Data/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.1.2	NPA-Core-0.1.2	49	0	3	5	16	19	6	0
npa-core/testdata/package/npa-mathlib/Mathlib/Logic/Basic/certificate.npcert	ok	NPA-CERT-0.1.2	NPA-Core-0.1.2	185	2	7	0	8	83	85	0
npa-core/testdata/package/npa-mathlib/Mathlib/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.1.2	NPA-Core-0.1.2	161	5	7	13	51	39	46	0
npa-core/testdata/package/npa-mathlib/Mathlib/Logic/Prop/certificate.npcert	ok	NPA-CERT-0.1.2	NPA-Core-0.1.2	96	1	7	0	9	36	43	0
npa-core/testdata/package/npa-mathlib/vendor/npa-std/Std/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	13	2	2	1	3	0	5	0
npa-core/testdata/package/npa-mathlib/vendor/npa-std/Std/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.1	NPA-Core-0.1	22	2	4	3	5	0	8	0
npa-core/testdata/package/npa-std/Std/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	13	2	2	1	3	0	5	0
npa-core/testdata/package/npa-std/Std/Nat/Basic/certificate.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	22	2	4	3	5	0	8	0
npa-core/testdata/package/proofs/Proofs/Ai/Algebra/AbstractGroup/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1552	3	14	22	1021	252	240	0
npa-core/testdata/package/proofs/Proofs/Ai/Algebra/AbstractGroupImage/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	336	3	20	10	169	65	69	0
npa-core/testdata/package/proofs/Proofs/Ai/Analysis/AbstractMetricTopology/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	435	3	9	10	145	125	143	0
npa-core/testdata/package/proofs/Proofs/Ai/Basic/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	185	2	7	0	8	83	85	0
npa-core/testdata/package/proofs/Proofs/Ai/Eq/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	161	5	7	13	51	39	46	0
npa-core/testdata/package/proofs/Proofs/Ai/EqReasoning/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	410	4	12	11	202	102	79	0
npa-core/testdata/package/proofs/Proofs/Ai/Prop/certificate.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	96	1	7	0	9	36	43	0
npa-core/testdata/package/proofs/Proofs/Ai/SketchLifecycle/certificate.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	28	1	3	2	5	10	7	0
npa-core/testdata/package/proofs/vendor/npa-std/Std/Logic/Eq/certificate.npcert	ok	NPA-CERT-0.2.0	NPA-Core-0.2.0	13	2	2	1	3	0	5	0
